Comment,Designator,Footprint,JLCPCB Part#,MFR.Part#,Qty
"SW_Push","SW20,SW17,SW7,SW4,SW3,SW16,SW21,SW10,SW14,SW13,SW1,SW11,SW12,SW8,SW22,SW23,SW5,SW2,SW18,SW6,SW15,SW9,SW24","CherryMX_HotSwap_Narrow","","",23
"D","D3,D24,D7,D15,D5,D6,D4,D1,D23,D16,D11,D21,D10,D20,D2,D12,D22,D18,D9,D17,D19,D8,D13,D14","ll","","",24
